FC	padj	Gene	GSEA	Group	pval_mod	label
-2.33730771146803	0.00217762242915223	CREB1	antigen processing and presentation	Pre	-2.6620174189561	CREB1
5.85297115350407	0.00597665361618138	DCTN2	Other	Pre	-2.22354191347203	
-5.9235982953304	0.00683864936825608	IL12RB1	Other	Pre	-2.16502966287543	
-4.05391694942408	0.00868849387766433	KCNN2	Other	Pre	-2.06105550057197	
6.0016307371297	0.0102159839492485	FPR3	Other	Pre	-1.99071979808198	
5.30464937459508	0.0129195732925464	PTPRR	Other	Pre	-1.88875182997505	
5.3606900447535	0.013932733155209	HK1	Other	Pre	-1.85596368057584	
-2.69951705243263	0.0243956083704761	MBNL2	Other	Pre	-1.61268834710915	
3.77426082703225	0.0243956083704761	GPR37	response to oxidative stress	Pre	-1.61268834710915	GPR37
4.84466535022811	0.0243956083704761	MCAM	Other	Pre	-1.61268834710915	
5.23882937224149	0.0243956083704761	PPEF2	Other	Pre	-1.61268834710915	
3.13983542763773	0.0243956083704761	PGLYRP1	Other	Pre	-1.61268834710915	
-1.08362167068217	0.0243956083704761	PITPNM1	Other	Pre	-1.61268834710915	
2.4003062963156	0.0265984530450646	HSF1	response to oxidative stress	Pre	-1.57514362102039	HSF1
-2.86265792635829	0.0265984530450646	TRAF2	Other	Pre	-1.57514362102039	
-1.9804576949327	0.0271270537842191	SNRPD2	Other	Pre	-1.56659737154386	
5.40087460916061	0.0373852880245807	RASGRP2	Other	Pre	-1.42729926910305	
-0.771981228946728	0.0373852880245807	FNTA	Other	Pre	-1.42729926910305	
-2.19276396198707	0.0373852880245807	ZNF80	Other	Pre	-1.42729926910305	
-1.09311868278943	0.0400117420138128	MLANA	Other	Pre	-1.39781254008521	
-0.67189863469455	0.0400117420138128	NDUFB3	Other	Pre	-1.39781254008521	
-4.611773337651	0.0400117420138128	EIPR1	Other	Pre	-1.39781254008521	
-2.49911388496296	0.0413739852194295	DDO	Other	Pre	-1.38327264503512	
4.14377557882652	0.0479617537379369	CSTF2	Other	Pre	-1.31910494515651	
3.46809712870992	0.0479617537379369	PIN1P1	Other	Pre	-1.31910494515651	
3.11723351362525	0.0483590269051617	CLEC3A	Other	Pre	-1.31552244672712	
-3.44562091615773	0.0483590269051617	NISCH	Other	Pre	-1.31552244672712	
-3.68838202027696	0.0483590269051617	PSMA1	Other	Pre	-1.31552244672712	
-1.37335669093379	0.0483590269051617	CLINT1	Other	Pre	-1.31552244672712	
-1.6788959055987	0.0504904447376403	TOMM34	Other	Pre	-1.29679080386874	
-2.7764768169701	0.0504904447376403	PTCH1	Other	Pre	-1.29679080386874	
-0.66208083930519	0.0504904447376403	SH3GL1P1	Other	Pre	-1.29679080386874	
-2.16338752980552	0.0504904447376403	VCAM1	B cell differentiation	Pre	-1.29679080386874	VCAM1
-4.27561621685372	0.0504904447376403	CDK1	Other	Pre	-1.29679080386874	
5.48597667943764	0.0518622899667688	HRH3	Other	Pre	-1.28514831097633	
-1.98045783164581	0.0518622899667688	SCN9A	Other	Pre	-1.28514831097633	
-0.679338616807272	0.0518622899667688	WNT10B	Other	Pre	-1.28514831097633	
2.96764745317542	0.0546223115410213	TPST1	Other	Pre	-1.26262992506285	
3.56984425165713	0.0546602470894347	B4GALT1	Other	Pre	-1.26232840942829	
-2.01400064796933	0.056742879631883	EPHB4	Other	Pre	-1.24608862806603	
-0.866588324056831	0.0637479574392972	HOXC5	Other	Pre	-1.19553372598504	
-2.61937586570343	0.0654434014934794	NDUFS6	Other	Pre	-1.18413413581203	
-2.48176411497167	0.0666565941785347	PDC	Other	Pre	-1.1761568804033	
-1.94797550879356	0.0668464592164331	ARSL	Other	Pre	-1.17492159189475	
2.21596745391132	0.0684619126530041	CDK2AP2	Other	Pre	-1.16455097193723	
-2.08976164897576	0.0684619126530041	APC2	Other	Pre	-1.16455097193723	
