baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
3594	628.136267317435	-7.21865450537098	0.974535723458779	-7.40727541495437	1.28920548641436e-13	2.05048132614205e-10	IL12RB1
10150	98.9132800554243	-3.33215966088093	0.571000134601299	-5.83565477301965	5.35797331918324e-09	3.09885693242216e-06	MBNL2
7412	2264.29233567537	-2.27920120555684	0.394971811678129	-5.77054143654741	7.9017231560634e-09	3.8669817476058e-06	VCAM1
11188	199.724494173397	-3.37067457113681	0.605273985975405	-5.56884096993684	2.56439401661295e-08	1.1653339095494e-05	NISCH
983	194.530822447447	-4.37217212438795	0.787827683597826	-5.54965535663998	2.86233297181983e-08	1.21401082444785e-05	CDK1
3568	441.570698938346	-2.77345372313494	0.50672051795342	-5.47334008564834	4.41631411820817e-08	1.63663436227497e-05	IL5RA
7186	318.218712328892	-2.73718041198501	0.504658481732331	-5.42382722388643	5.83362718426001e-08	1.95334400769801e-05	TRAF2
6820	59.5898642443222	-2.84280358735987	0.545920125157743	-5.20736176659259	1.91544431042643e-07	4.87442268117317e-05	SULT2B1
8528	55.2180576859872	-2.22830632196867	0.451595998869485	-4.9342915516235	8.04422036546953e-07	0.000172296013362271	DDO
6418	213.061155999684	-1.39213705570238	0.287488118067988	-4.84241597551225	1.28269882456173e-06	0.00024001558593711	SET
11163	431.615413653865	-2.64787473426353	0.560766779141424	-4.72188230964327	2.33671892278991e-06	0.000391215941757616	NUDT4
6637	1805.75588015335	-0.375639009084141	0.0831079433575613	-4.51989297181861	6.18709021270055e-06	0.000960055315443924	SNRPG
2050	85.5915375063638	-1.87862764851612	0.420175554703554	-4.47105412841436	7.78349935494991e-06	0.00109920219450849	EPHB4
5239	104.104717222765	-2.06661326300777	0.463914296764714	-4.45473070655527	8.39985605519418e-06	0.00113701881325841	PGM5
1730	2268.80358965202	-0.792005656131737	0.178676489696887	-4.43262377425995	9.30932279699732e-06	0.00123387315905202	DIAPH2
1385	28.43646210775	-1.8040626967706	0.409165346688691	-4.40912875777626	1.03787308350049e-05	0.00129943186057527	CREB1
4604	74.0983004887403	-1.6185590299357	0.367158572558324	-4.40833784339487	1.04166967760671e-05	0.00129943186057527	MYBPC1
10953	454.828958011098	-2.63128181597328	0.598269610781546	-4.39815389007628	1.09175558958327e-05	0.00133572097325554	TOMM34
4709	372.721375672024	-0.549715339520294	0.126508340368564	-4.34528931388064	1.39092217176371e-05	0.00160891761032014	NDUFB3
10661	12.5871388805981	-3.35073374045939	0.776464755882656	-4.31537132248894	1.5933484448374e-05	0.00177531477147223	KLF1
2254	12.9437597505227	-5.92779004974703	1.37474746677815	-4.31191196419467	1.61848878883039e-05	0.00177531477147223	FGF9
4726	157.270001386983	-2.593779738217	0.603259291045228	-4.29961009588916	1.71098862093314e-05	0.00184496772989434	NDUFS6
7298	2548.07110851456	-1.92814757014602	0.449567730561399	-4.28889228267839	1.79566427232752e-05	0.00190400268342461	TYMS
4751	1335.57765441105	-0.673647334312897	0.158779763545962	-4.2426523334499	2.20893502502735e-05	0.00221759592666693	NEK2
